,Sub0,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9,Sub10,Sub11,Sub12,Sub13,Sub14,Sub15,Sub16,Sub17,Sub18,Sub19
Tri16,3999.043797174494,2071.515702901359,3385.07011701121,3601.361161474632,6218.904091320573,4637.388191339303,3305.677185462535,4283.664182551824,692.2420280079776,2030.449406238222,3598.0578714102035,1374.5469377218342,1480.6110114688586,3241.3846793363678,6352.487412990999,4769.8076301187675,345.901125627525,4162.285049821457,3181.8157041316053,1458.025873171022
Tri17,1372.4196515293809,1848.2139722971024,4248.673137034118,3914.271055869724,3890.5124695336767,3076.043020720739,1293.9785270624288,6441.018287201154,1816.0635019786832,2344.6987702095616,1640.9202088265595,5323.168629536021,3648.912379875844,2760.7211030278313,7033.016570116222,5071.046488728364,2946.6794509240053,293.87246654280096,2713.797467434776,2096.0620751416723
Tri18,3650.763985518826,5793.4982662345865,2728.329609989251,2176.3028478743267,3461.945291877109,6076.972257087018,2195.4606763920533,5416.264594755349,1369.2461423724465,5103.07619636608,2892.0604958264216,3892.435507859164,1295.714143772524,20.22369027038595,3690.5300282265816,1439.2862008090888,3331.125829626865,1405.3623581392478,674.7661488158936,2690.896211851377
Tri19,4590.144643861568,2738.871920934463,271.5049161624434,438.60378734579837,1240.028763313275,3096.0724334368474,2370.3451651940336,4593.9029868954885,3272.5976871229805,4735.979485755819,5122.880849601393,5917.462942061642,4162.275122462625,1684.4700843796033,6845.328217840936,6875.100886214876,4941.8760439206735,194.371184854514,1230.6822719118375,2914.678468944749
Tri20,1789.1100261705176,2564.281719369761,2561.038386769187,3934.2184280309993,,4041.2044191846558,2452.776552517516,2294.776564755039,1931.3313791031214,7175.587179425135,3183.7541377634234,3513.924554464536,905.0139564967053,354.74183201863985,3134.3484552693294,5414.503988377648,1859.883386048084,1044.3680430469628,2518.770275982409,3580.0211390214117
Tri21,2350.8652086236793,3983.865823486824,1377.5678931036355,9126.489066129008,,769.1433412767482,7671.032391803376,7018.6414156459705,1765.476152854152,3308.4793651096684,6039.588711976739,5881.403432849633,1107.831737506956,2119.1467232900295,8965.077468425956,3400.401329662373,1074.6469397773492,1467.227138884277,385.81721044410085,4313.807515808367
Tri22,6952.3907993585035,2063.316230088888,1535.85163485646,2888.3083733216754,,5570.172691202619,3200.852884195445,5913.022804426768,427.5917140398903,3944.805607229178,2765.051690904526,4495.600497799597,3512.207504233779,105.08075063693168,5065.155604450885,2852.460376336831,4284.974905141656,2193.3408755892897,3922.9170901608613,6555.267029985354
Tri23,3981.190750122092,3247.512882488875,3721.031070276344,2099.8367766770543,,6456.13896270365,2025.5387833707446,2661.638491132221,1088.3324662748767,6264.921508781863,2461.3353941149194,6783.46628099889,3711.174363533715,1367.7473177590755,2005.241989933285,3895.996976580067,2927.5251474883275,567.9366934461856,1042.1242769664639,3309.4782665872112
Tri24,1018.9196038610124,2192.488372219464,2749.4249483431813,2821.333286839093,1414.6760449850854,4442.5605076608945,3913.6922604393876,5384.410278171369,32.01949902609857,4496.280230636233,1248.691549076658,10061.049263155111,1844.5286752823376,70.76855168242335,2701.31723366536,1849.193271364532,1006.8528339900893,2177.662909533069,2369.8232408395165,5870.730322192911
Tri25,2315.087241100144,2201.058303219338,719.0143813476143,737.3052973283445,4660.901241639999,3314.228721606676,1319.01951122474,2356.7824083189594,1474.041408924376,1173.6897711214858,6404.4747398941745,2472.5708041666594,4559.196651680611,3857.026458520195,259.46740729282425,3718.6243664393323,2832.405128729701,3471.1259656085804,641.862062555958,6200.3068546365785
Tri26,3425.9430521652916,2960.328053274364,2058.4229087724807,2792.324987990817,2366.3286807782933,5725.728256577667,1011.7378950465663,2399.5558060815697,2611.7160522264858,5671.847403469819,4001.4360403881283,4696.457378645208,1134.304194353304,1819.079807708189,6214.829224682242,6221.9598821225045,587.6116468643712,1666.1176879742216,2720.3370900150594,4027.3418965876313
Tri27,3343.105867743629,3245.5637101204475,4974.583632272884,23.42944389827461,4954.807144333369,2755.752429826072,1775.584328034175,5829.767281807744,2597.3947223069313,6390.433703494923,2748.0323603938323,6592.437244993112,2420.918590067273,2744.339670832813,5943.4953693111975,7500.719769493484,2714.634138163065,7112.070672551678,5129.402693067524,4819.21257661104
Tri28,2170.4747687548006,3573.187791636911,5821.914517365883,4277.443964041181,1570.9027412864434,5864.0621793312475,1338.7124018883846,2062.441170704375,1444.1391813107746,4584.6540472581655,4684.956953356678,5955.686111606733,3997.029107259648,765.4611864291776,5388.946834022065,4428.598435963846,1248.9065605129115,1018.5625758769903,3137.5211164512243,6439.059401904038
Tri29,3201.988624139221,878.4967214837977,1157.1606369156952,6449.023513563756,2686.624157146787,4180.357765266875,213.19520575804333,3046.3083311159007,2865.075880613556,2478.6238336706506,5169.5390956845695,4025.666201084128,2542.1097541415947,4541.154907016779,2248.2763346832407,1793.3475325370655,2628.103510816108,2009.56750669242,2917.641000487907,4727.321300765887
Tri30,885.8273982939671,2673.125276377441,2197.8112696143016,1198.9409466913976,3879.5321684546266,4771.844126055744,2833.712379406322,2918.260018440961,1467.8589268958774,4912.534401978278,1334.0765062749238,6043.634239344983,2248.499112859091,643.4861205836014,4064.526559473287,4346.336603625403,1879.8376707086504,2099.5589544860804,1445.346349406411,5570.111721071999
Tri31,1215.6430234026673,220.11175914107002,1752.7211107007333,2818.106062376625,3755.575672063547,9540.817848137778,1265.079105514014,4522.887864067714,5608.034531954422,4202.107653784459,2198.1064453264653,4622.118870892487,3435.6746494434497,529.4786274456981,2181.626741543949,7203.344433063825,4193.048640564491,3682.0976130076533,2274.817643833291,3263.8046023311326
Tri32,1443.4318745629464,5382.104214276226,1548.551647073173,6666.552012205022,1205.2509851334419,4337.426363535071,2483.909600076805,226.69868992346687,488.52773410829917,1133.9790522745634,3004.1567290954963,4533.147012278542,1946.250573649149,7237.202073335015,4292.567030911697,4051.38916941544,6195.831924534349,4854.890049379291,1866.5920838192221,8012.781138544778
Tri33,4945.070970715483,773.7204365907318,4250.854803232278,4738.06641150999,2423.2269668271892,6903.7375397164415,2095.676536993739,2110.72692761954,2925.754421689551,5836.711620448394,4631.620058914111,2313.093431569684,4347.685978515109,4811.850539458341,4946.182590119333,1073.8805156217745,3927.436079629096,4851.587680550654,3556.0244053658007,6117.857378545153
Tri34,5639.526882111085,3230.576767669981,251.82907601358872,2379.835145908265,2430.815003731851,2632.8843803005684,1647.165426582671,4864.508380326941,1216.7455276610976,7880.909289723892,3521.741242224721,3525.876081598589,1360.5737254458709,2424.031844025699,4830.41595265351,7563.3102050054895,541.024852018547,1079.0607735883323,4422.660330848404,1256.0864279660127
Tri35,4600.023647541488,1477.0538745796246,4841.460242574859,2589.9213190067744,4716.64352584615,4924.170535996634,2352.802670021135,3132.948558743774,1052.8267635909367,3067.7989692805922,2322.985142465354,5634.274114743533,2805.6743081874897,3420.7323297962907,9312.318763341886,5778.045800210105,1759.9697114255198,3808.8669716141108,1817.861192805041,1398.2138713785987
Tri36,2755.836492725123,1000.4380693502992,2414.372027240571,3024.502583407956,423.6349978858477,3344.9056887913744,2842.597984829281,5447.537198803245,1750.925580389616,3311.4991014525676,2836.238429104501,822.3020551706157,1713.2626040422244,2334.091040544295,3907.852686659323,2597.4042120968184,1413.0955684161152,3059.4214016402448,163.17259569262242,7590.981003177975
Tri37,1558.69745011417,3144.3150291633465,1054.5807692805251,4946.397261886911,3045.29424955662,5023.465326462126,2204.633780341806,3443.3531780970648,1034.944378420526,4334.959743487362,5477.797128819746,2215.308020985188,2911.1440962169927,2901.6474324558253,9819.785896307989,3898.332102640403,1169.214050273884,3212.0145912895478,3801.357516517655,4948.612156133685
Tri38,1919.318819720228,2352.242653902485,2061.085058135875,3323.698396038069,1389.3615780448847,4801.397814972517,4437.909771812891,1223.3289645357436,999.1322800179221,4182.896637637929,2111.8268045391887,3876.536361837994,1858.081055476684,3374.2614776679193,6977.646341231706,2296.280408266949,2061.595099544361,1354.3267926696435,31.532402505106468,5418.384274390934
Tri39,4496.701717715725,2840.145708391522,2457.697186063969,1155.1391327038073,1294.3229485223371,4400.674811160056,4524.189495203177,4179.674083132044,1409.9663206748846,4268.572701274187,3729.662609342356,2003.2144713641164,3158.4750686503526,3589.822900840231,5923.047852159333,5620.7356632190795,1574.874834838001,1589.692642960239,1017.52303178941,2388.817114226008
Tri40,3101.556512841594,3821.932449814367,1738.2455226819095,5303.886540624168,4189.467022220271,11811.244131403262,3558.3871028803887,4729.361348388583,3085.5195360370644,10828.63063556225,3808.408276542802,4945.265611609464,5423.784312726352,1416.478814414621,6199.176261660751,4676.489033306638,3407.752081341181,2786.8532510494842,2500.187403202737,4205.661588826326
Tri41,4509.277608822052,1650.1139589893835,4042.311318179711,8694.327412876604,944.7236638471021,3643.738429455523,1992.9953503380764,5695.085399899685,2695.5215590827434,6924.755303929381,3465.2955867027067,2677.0454720012995,2325.167877471315,899.8475621887999,4040.596547838903,5826.160850810912,1131.5418939913475,2682.002196573173,2196.2964296258515,1233.1449950767376
Tri42,5163.252163490944,3919.464201125104,1086.0937333344718,6687.009040383589,1521.3971506937805,5368.922508322328,1455.2394688704792,694.7774798125695,809.9382359881903,3735.4169325119033,4324.061110334354,4802.31242075209,4978.9964573960415,3822.252978094033,6303.663778338926,5636.911518778619,293.9965132082375,1243.4364957373489,3160.378847515612,2864.768195025681
Tri43,5407.053192244579,1320.4205788868699,3568.224840464288,2817.4761578041,953.5252816107593,2129.972281584164,3831.4481045330076,1376.906830591238,900.9523502439096,2345.970183139193,5778.785459221985,3421.308325559037,4551.091919338034,6436.917296183292,6851.793158080401,1658.4086163180798,3139.5941422410506,478.29495093756094,706.9296617691031,7683.120159004174
Tri44,2441.6136334613393,4071.729179180821,1473.0505778843435,4629.632294576014,4133.906303415837,4716.120476653924,2745.6717983784083,62.21949592945919,3946.579695100709,3819.180324758604,3816.9570691073604,7521.2417689987205,4798.083485685857,3074.0565637580958,1319.8853858782236,4254.035713035391,2768.938539942846,2052.496114409853,4873.2459203904655,4742.643339329182
Tri45,4708.366341232009,1833.1884977994864,1900.0691559020856,3071.9146004146364,4604.380796402556,5717.76678842106,2209.407833043535,5956.667865074604,1842.3058206877329,4203.202604678404,2283.170777942664,3099.288300899163,1680.7331627036624,1998.869574360993,5713.984714798608,3851.7214637657385,1246.0663843135005,2180.9484779840627,3136.780814677597,6470.040626227718
Tri46,3054.146724872906,2999.397353837161,1606.7939432768762,2169.755800631876,1836.6020284144315,1455.2878274038467,1376.0356833280448,5993.132324085666,2819.651387367535,5678.333274144256,2964.811811912594,3709.5806931589473,441.4991101216117,3152.735442633405,4173.081612284962,3686.9542614797215,3790.497567726234,2155.9636000362234,535.623032187616,7901.435152296366
Tri47,6567.608377812116,5286.732849541176,473.2341278640357,404.57438963502767,226.3461059793961,5940.622430287574,4640.143913165227,669.2785254951127,179.576910702913,3702.1874540504887,3491.7074401443874,8252.66546022029,3034.297352070224,2667.431276741824,4051.8424888179447,7825.239362471855,650.7517806193305,1500.7857962173562,4420.308882633226,2866.283300799767
Tri48,6321.255472509103,2317.9482027905688,4193.554403383738,1943.3734229254708,6547.279452981999,6260.705297937058,80.55406778109275,2365.3601625447627,1316.9878109599804,5434.80683040652,2451.6896107601024,5012.003730141327,3640.5164293678886,2960.0723503346003,7856.287729949531,3252.1863250327283,690.691690240235,1054.4801116591223,2506.572115147082,3611.461119041519
Tri49,2363.261050756641,3933.7047107848352,2635.925878825123,4457.069061595728,1284.615121900961,2115.398423099029,2852.166939101541,3264.853717504528,670.1788068612726,2569.97675703746,1057.699348472316,2723.4926441061125,3391.153996388883,3543.19355676199,199.53787165841598,7878.344166731813,3901.363831617026,2755.946437110394,,4418.841575879231
Tri50,4840.773012608146,1359.5614832695833,3914.841481047157,2196.4103451628,2472.5310593245263,6393.751922066654,1527.6904601829135,4776.293131748276,244.58930669893545,6582.874901999517,4712.64405409718,1453.7000577132765,2296.252054713949,4126.398827979001,3939.8486104339477,6201.065837578234,3101.9461961412458,4481.366842502077,,5683.823062467905
Tri51,1501.6474317114353,1585.4031095868,4383.262671958539,1036.0167181102088,1563.7709150715325,4015.836733829076,113.35295497789377,4440.386041713303,309.3644525975783,7287.257932017803,2548.672156952835,2345.111972365629,2766.4173080047194,1144.83906467256,2095.093453833462,2725.8944250846343,3156.956110160197,2217.1242108043257,,1188.7837057560246
Tri52,1063.876179864335,1697.614846189059,717.9024496687339,3485.089734139929,2353.489804759629,5502.689435573377,4818.2481707275065,3005.281632951018,1339.3552541738636,4303.324601441734,4380.9461440638,3736.289808377433,2374.627558778558,4886.42763340177,1002.3274891754339,2745.6290948728165,3311.8411365165503,3073.430851017522,,3528.9359747461767
Tri53,1694.71808258104,2378.1289290962477,4842.314819066477,1569.0724864084787,2045.502882860604,1421.1055118547386,2865.726509376313,4824.2149309994,799.2114216247469,8023.239544971729,4934.425926627094,1596.3034877008408,725.2762143853715,3463.422134110091,10599.287403232418,4984.758181764819,3032.0223616029803,1966.5929515906664,,5985.420306419698
Tri54,7350.23107452389,2570.299204658872,2672.114249060812,6641.690066691702,1342.456336164447,8963.837402055135,973.6645502480502,3699.2632647908335,1246.1365259623512,3621.733814177896,3134.114451900679,4724.891094930609,3028.842734840391,3960.0080310600665,6817.223755946789,5074.39601290476,3146.5165362096227,1528.151653241511,,7061.139090895445
Tri55,6048.27600272461,4239.6984051845,1930.3871309926792,3009.3253993054304,1357.2982643154346,5984.90488052432,1330.760177621171,2909.810572996051,588.2828747392193,4970.7316464603055,2488.265232842784,1301.5160265909951,4327.7744332177945,3579.568814881019,7212.826898616432,3815.098804475315,590.7780991768417,2403.595642914115,,6326.782573824727
Tri56,1182.3174121926982,1241.3527238062163,4345.577586180001,2311.1683535472416,2306.845458601895,5802.501239565821,6248.406183830351,2489.882526691576,1734.7436997274444,2047.2609638057447,1561.6409921515478,2029.865567437105,1287.2613448793707,4458.911907427943,9422.782302192656,6396.046458411972,4855.012140882447,3707.299262107191,5742.238430971663,6294.618445838061
Tri57,5465.985334187048,4221.297853808303,2229.881857312089,2067.71076606328,1666.7977160288565,951.2320031933192,5851.22796707945,2728.098729121829,3674.16117943581,6469.184780587506,2218.1105185997303,4370.5932877739315,1878.5701155421561,3803.065781295883,6562.825281150652,4576.84771442274,3193.4531894948527,277.2504925745052,1775.5443782248435,3523.412055986321
Tri58,2602.754770429774,3306.3473756333906,1963.3791228469433,1619.904887053073,2594.10096111231,45454.0,3538.150045992284,2392.34306527519,1690.1936194345853,5212.46130636436,5005.449199670921,6635.727552936776,3329.601785736953,2529.0855628481313,8504.980480013817,1950.6231366359016,1578.0341713983546,1281.8524009274672,757.3117685419031,4616.766078876983
Tri59,1036.611390717324,1383.3364519317092,5458.582030367392,3871.4051905049073,2698.357659440342,3638.022756658691,2751.0098592260124,6913.815257488357,2084.4167454794533,3757.800555984685,6863.824102002949,5239.24593593909,4195.773021946588,2486.679955254572,4998.625440102106,1157.5985936492054,830.7545711273581,2770.4534062411512,3507.630824430797,4040.232543339908
Tri60,1102.159282646386,2953.1367116244983,1064.346814555372,5509.726981468735,2859.4775246951253,2828.185638158397,1809.8783335472322,5008.314813881586,1257.329583932992,1806.2092188272647,3739.4640843823,4137.487457976516,3139.622562729156,680.3364119424307,5727.8099625717,3485.6478081677337,4859.937681806724,4905.756135621802,3338.525039350017,1752.0116540159554
Tri61,2857.664665490357,2377.024896365259,2374.038328597534,4667.615627111695,2601.529101301869,1946.0162276199253,2167.842661427889,4702.070013855097,1670.412152578476,6906.8565484942455,2995.6388017800905,359.67422200696717,3848.763064366789,3785.49255310428,7551.734899142563,1756.4601184881942,1827.8369688496343,2937.8606221482805,3760.4782046271444,5000.368650593838
Tri62,2556.366541152797,2022.7607485422488,619.9108497359992,3382.9206435184906,1380.424745246482,2511.098915129182,2766.709795257801,8960.230016181542,321.02467713495133,3707.943604061525,1821.154123866684,2884.29327294533,671.5229780066593,1483.9128675251716,3057.111816682901,2409.2376984212674,5147.017193353857,2990.9270301914726,1973.088314691956,1719.8957199605254
Tri63,2017.6209663192046,1863.519701328664,3031.5827567517354,5260.679802227536,3654.700035307391,2573.538725090184,1287.824604833378,1465.990994915137,321.8561208918378,6424.542928895135,2293.913080861434,3198.940726126903,2922.8556882382427,1155.4531363908598,3722.372873783957,1170.8120051415794,4253.652741834108,1513.813874307898,1604.9032882097702,2610.287412984937
Tri64,3608.360124961792,417.4691269755664,2650.5232265699833,8170.47435049768,2766.859545633817,4069.853203268129,2025.454226177963,708.5942188319352,1497.8720658722802,3919.452696393952,3759.601265572696,5049.035120651483,3028.253464018316,2500.058610977092,9253.86550913635,5714.925724988691,542.1434160833364,3724.415649415383,707.1248252052444,3687.9674649251033
Tri65,2833.262171308076,3319.641887913797,1950.4134290140166,5349.542345207905,2553.324001707328,3871.7715303150817,3881.1534887972216,5729.47887318686,563.3125516542564,4951.7943576685575,5979.941123145865,6101.520168366986,2285.790204141984,1765.1107831339448,5193.653819346106,6144.297255742419,2836.002173702093,4578.009087977197,3157.9153806374793,4365.268996118911
Tri66,101.14314296967785,3104.716098006067,844.3872016776738,2792.692488653521,1101.4798825429766,3623.522682667151,977.7752842346154,6307.2541144320285,5830.222220537924,9853.65142769734,2401.081616224361,4239.004871618856,5719.297129090326,1421.3085400419327,4658.11717248427,7213.856914185114,5122.526097853107,2514.576351904636,2400.7743903919145,8908.439194989269
Tri67,3332.767609253195,3186.4582889604712,437.16646152497236,4274.482374383314,4186.796913023042,7689.175536347477,734.741025588364,5757.365473102011,1774.285508680798,3795.623787567645,2942.371969471994,1968.847864210977,2190.6883073214467,4531.647960903816,3055.346958906161,1828.9278795889268,3350.5852076227543,1111.1185626229021,1692.4664011103491,1430.4496620344908
Tri68,3798.873514856659,1582.9386714133911,2664.4659893778685,4372.245721009625,1868.9630233924545,5309.195584779998,3430.614123447855,1505.3410256697002,3484.7864903338163,4658.6443524660635,3042.813866490913,4864.617017164113,2536.11747186934,2417.2155998391195,5398.39663659956,5220.675466442561,2842.3074703207726,1546.7008043939468,2151.0331917742988,3936.284820220773
Tri69,3295.0524595441193,4169.552732046559,2875.3651004368885,5730.550360190918,5089.85195106306,9941.041221777465,2372.766958446157,712.5971687417785,833.1120378341333,3135.344416988109,6882.624409307232,5659.601211387319,3742.616705261157,3986.513777582042,4020.357116015959,5801.526320318688,589.3655327344817,2688.569100988156,1121.4541522443262,3029.1641601828496
Tri70,2033.6842218504198,2576.5814630712,1000.2401345526488,2751.222535238075,2159.8813309876386,4914.177664036801,2262.0657947921154,3956.933720923689,427.3281893886335,6508.643987263752,6878.715122505971,4421.165174355542,3401.286811250495,1191.2643151236055,3416.326343659838,6803.959303835632,1039.5051202452828,3510.374105761977,3775.6914874792906,3855.2593921815883
Tri71,3527.924723443225,2163.235508400161,4529.367620319515,5173.372705011627,1787.0899513614181,4302.775435547801,1974.553864224906,4513.419447490925,1559.119057242926,5314.362312960224,3563.8923624161794,6700.7711298366075,2424.461887014309,2973.6039837665917,4143.106864571129,2145.005717710423,3216.6838066652394,1580.5809897749775,3201.8271662291686,3006.531994383225
Tri72,2887.4129707817906,5502.356296036176,778.4076591069804,1664.6605531397975,4214.579249367347,1118.3094425072334,966.2221812782296,1044.9604454624853,398.9399460344796,7767.156388479803,2693.6810586874176,1694.0891628290967,3008.645999092306,688.5540707950055,3501.821612068352,4973.265139113803,239.23455456000943,2064.5020768406416,3682.5977527361547,4135.022263824442
Tri73,3842.802347487241,4787.63174283254,3625.8537216197883,2872.950545925765,961.5758061543061,5041.405180218118,3282.506705053039,5559.687299033404,48.358292094238365,5000.985621722327,4237.756782933581,5939.208543764338,2377.740651406564,2435.209133502342,352.3319421732192,6542.590602992236,102.23795228274544,2222.7591860548914,3639.4871414955683,3086.450348576367
Tri74,3079.614430479079,1638.4986126404206,2011.8611414270874,3884.53206397823,3188.043305976933,6601.968669396229,381.30558228973433,2904.793779079361,2757.233233555737,4309.651635553814,3889.435918120377,1106.3060963558614,2489.8060453165053,4605.983596169522,5729.6811535194565,3663.71972701566,1181.6594796214958,933.6301073287816,1547.6931863706213,2960.6748223880354
Tri75,1198.5265642782133,5210.811389689334,533.4684241859159,3579.098170702381,1215.229262658406,5192.536538044942,1827.9837620497144,3334.173442234724,1000.6213051362683,9668.566552419676,3680.870634783433,6871.694329815767,2479.965080043315,841.9483129010177,8602.435088955071,3549.56546982286,2358.7130001389264,3049.464333081817,2907.98873493585,2316.232732144428
Tri76,105.49720413020479,2031.338468490624,4881.780500812677,5169.89680915012,2533.816249469749,4075.142535672471,5435.661103560628,2582.020819659353,1983.8172630481256,3092.7619137419256,7059.5483024522055,3433.856876987224,2047.4328315508515,2381.731026919139,3920.8101685465526,3652.760268790197,4864.59095127418,332.86110220480225,1678.0582565551485,3643.633788179909
Tri77,89.29260893041769,2461.3830876516954,562.8862312004197,2953.2014448536156,3323.1483337306145,8794.715924341876,509.26105832521034,1150.5494331351206,2412.0210499494656,3500.5873403087885,4818.932992731591,4769.070627224911,1124.9464615677907,1276.7019488107464,2647.8178434691667,1424.8718764720584,4566.898331110706,4025.069989584409,2025.74584066671,2954.6925198491795
Tri78,2700.250144042291,2308.122520306985,1267.8628310840795,2925.530202280603,3205.160805190809,2081.6500048686307,3422.770780846093,5970.898525663517,1597.9800760196024,8631.450252503402,3486.427937453479,6822.956170468152,3043.7823236074273,1130.8155804868172,220.4128918807897,9135.655465827005,1928.5334319866586,2191.910098665292,1750.5664163981526,5579.156662942385
Tri79,4258.020167337359,1453.9866968956985,5915.384098711029,4132.6827627511875,2002.1170051466693,4498.628666268971,1463.9142084743673,7010.404666710725,879.2009205068869,1091.6253722236754,2704.4971308274066,3431.3142973306653,28.354830957221125,2639.5318989116304,3566.9339393650675,2063.3473614304603,6855.120382114773,1204.45918429624,2686.1214459350917,7537.298684846566
